Year,Age
1960.0,5.0
1959.0,19.0
1959.0,25.850369683020602
1959.0,16.0
1959.0,25.850369683020602
1957.0,57.0
1957.0,25.70551836455047
1957.0,25.70551836455047
1956.0,30.0
1956.0,21.0
1956.0,18.0
1955.0,25.56066704608034
1955.0,28.0
1955.0,25.56066704608034
1955.0,13.0
1954.0,35.0
1954.0,25.48824138684526
1954.0,34.0
1954.0,25.48824138684526
1954.0,25.48824138684526
1953.0,25.41581572761021
1952.0,25.34339006837513
1951.0,56.0
1951.0,25.270964409140078
1951.0,16.0
1951.0,25.270964409140078
1950.0,17.0
1950.0,25.198538749904998
1949.0,25.126113090669918
1947.0,14.0
1946.0,15.0
1945.0,24.836410453729656
1944.0,23.0
1943.0,24.691559135259524
1943.0,24.691559135259524
1940.0,17.0
1939.0,24.401856498319262
1937.0,24.25700517984913
1935.0,24.112153861379
1935.0,24.112153861379
1933.0,23.96730254290884
1933.0,23.96730254290884
1931.0,23.82245122443871
1929.0,23.677599905968577
1928.0,24.0
1928.0,23.605174246733526
1923.0,23.243045950558184
1923.0,23.243045950558184
1923.0,23.243045950558184
1922.0,18.0
1921.0,23.098194632088052
1920.0,23.025768972852973
1920.0,23.025768972852973
1917.0,22.80849199514776
1914.0,22.59121501744258
1914.0,22.59121501744258
1909.0,22.229086721267237
1906.0,22.011809743562026
1902.0,30.0
1898.0,21.4324044696815
1897.0,21.35997881044642
1894.0,19.0
1894.0,21.14270183274124
1894.0,21.14270183274124
1891.0,20.925424855036027
1887.0,20.635722218095765
1886.0,20.563296558860685
1884.0,20.418445240390554
1883.0,20.346019581155474
1882.0,20.273593921920423
1878.0,19.98389128498016
1878.0,11.0
1877.0,19.91146562574508
1876.0,19.83903996651
1876.0,19.83903996651
1874.0,19.69418864803987
1873.0,19.621762988804818
1870.0,19.404486011099607
1865.0,19.042357714924265
1863.0,18.897506396454133
1858.0,18.53537810027879
1853.0,18.173249804103477
1852.0,1.0
1830.0,16.507459641696926
1803.0,14.551966842350083
1970.9359277892868,26.71483712174185
1970.9359277892868,26.71483712174185
1965.2246035409437,15.0
2023.0,32.0
2023.0,49.0
2022.0,17.0
2022.0,30.413186214829835
2022.0,30.413186214829835
2022.0,30.413186214829835
2021.0,42.0
2021.0,12.0
2021.0,25.0
2021.0,7.0
2020.0,30.268334896359704
2020.0,30.268334896359704
2020.0,30.268334896359704
2019.0,30.0
2019.0,50.0
2019.0,25.0
2018.0,41.0
2018.0,39.0
2018.0,30.123483577889573
2018.0,30.123483577889573
2018.0,54.0
2018.0,34.0
2018.0,18.0
2017.0,68.0
2016.0,29.97863225941944
2016.0,45.0
2015.0,23.0
2015.0,52.0
2015.0,58.0
2014.0,29.83378094094931
2014.0,39.0
2014.0,29.83378094094931
2014.0,29.83378094094931
2014.0,31.0
2014.0,29.83378094094931
2012.0,16.0
2012.0,18.0
2012.0,33.0
2012.0,29.68892962247918
2011.0,26.0
2011.0,29.6165039632441
2011.0,30.0
2010.0,6.0
2009.0,29.471652644773968
2009.0,29.471652644773968
2009.0,31.0
2009.0,13.0
2008.0,33.0
2008.0,17.0
2008.0,14.0
2008.0,52.0
2007.0,21.0
