Year,Age,Time,Type,Country,Activity,Fatal (Y/N)
1997.0,17.0,13.0,0.0,177,336,0.0
1997.0,18.0,13.0,0.0,177,336,0.0
1997.0,34.0,11.0,0.0,177,336,0.0
1997.0,27.0,11.0,0.0,9,309,0.0
1996.0,52.0,13.0,0.0,116,341,1.0
1994.0,43.0,16.0,0.0,177,336,0.0
1994.0,19.0,11.0,0.0,27,341,0.0
1993.0,61.0,7.0,0.0,64,341,1.0
1992.0,35.0,13.0,0.0,145,336,0.0
1992.0,19.0,17.0,0.0,145,341,0.0
1991.0,24.0,9.0,0.0,177,309,0.0
1991.0,13.0,13.0,0.0,177,54,0.0
1989.0,34.0,10.0,0.0,145,336,0.0
1989.0,24.0,13.0,1.0,9,185,0.0
1988.0,42.0,13.0,0.0,177,279,0.0
1988.0,31.0,18.0,0.0,177,336,0.0
1988.0,24.0,13.0,1.0,9,105,0.0
1987.0,16.0,13.0,0.0,177,336,0.0
1986.0,18.0,13.0,0.0,177,336,0.0
1984.0,17.0,14.0,0.0,177,336,0.0
1984.0,24.0,13.0,0.0,69,282,1.0
1984.0,13.0,14.0,0.0,177,341,0.0
1984.0,28.0,13.0,0.0,145,313,0.0
1982.0,24.0,13.0,0.0,177,272,0.0
1981.0,19.0,13.0,0.0,177,313,0.0
1981.0,24.0,18.0,0.0,177,313,0.0
1980.0,16.0,13.0,0.0,17,341,1.0
1979.0,24.0,13.0,0.0,163,215,1.0
1978.0,20.0,13.0,0.0,177,336,0.0
1978.0,24.0,3.0,0.0,145,125,0.0
1977.0,18.0,10.0,0.0,145,336,0.0
1977.0,24.0,13.0,0.0,9,247,0.0
1976.0,19.0,10.0,0.0,177,336,0.0
1976.0,24.0,13.0,1.0,145,81,0.0
1974.0,17.0,16.0,0.0,145,336,0.0
1972.0,24.0,10.0,0.0,177,336,0.0
1971.0,30.0,14.0,0.0,177,279,0.0
1971.0,24.0,13.0,0.0,177,138,0.0
1968.0,24.0,13.0,0.0,106,239,0.0
1967.0,24.0,13.0,1.0,125,298,1.0
1967.0,24.0,13.0,0.0,74,125,0.0
1967.0,21.0,19.0,0.0,106,201,1.0
1967.0,24.0,13.0,0.0,145,313,0.0
1965.0,24.0,13.0,0.0,75,97,0.0
1964.0,25.0,14.0,0.0,9,138,0.0
1963.0,24.0,13.0,1.0,75,14,1.0
1963.0,24.0,13.0,0.0,120,285,1.0
1962.0,24.0,3.0,1.0,177,7,1.0
1961.0,18.0,16.0,0.0,145,364,0.0
1961.0,24.0,13.0,1.0,9,126,0.0
1961.0,24.0,13.0,0.0,9,125,0.0
1960.0,25.0,15.0,0.0,16,138,0.0
1960.0,5.0,13.0,0.0,100,341,1.0
1959.0,19.0,11.0,0.0,9,361,0.0
1959.0,24.0,13.0,0.0,35,125,0.0
1959.0,16.0,13.0,0.0,9,341,0.0
1959.0,24.0,13.0,0.0,8,232,0.0
1957.0,57.0,12.0,0.0,177,341,1.0
1957.0,24.0,13.0,0.0,142,125,0.0
1957.0,24.0,13.0,0.0,177,161,0.0
1956.0,30.0,13.0,0.0,36,138,1.0
1956.0,21.0,13.0,0.0,9,32,0.0
1956.0,18.0,13.0,0.0,9,97,0.0
1955.0,24.0,13.0,0.0,121,313,0.0
1955.0,28.0,13.0,0.0,9,313,0.0
1955.0,24.0,13.0,0.0,121,313,0.0
1955.0,13.0,14.0,0.0,9,170,1.0
1954.0,35.0,13.0,0.0,9,314,1.0
1954.0,24.0,13.0,0.0,177,331,0.0
